id,es,en
DL51,"nucleótidos de adenina (A), timina (T), citosina (C) y guanina (G).","adenine (A), thymine (T), cytosine (C) and guanine (G) nucleotides."
DL52,Toda la información de las células se almacena por combinación de tan solo estas 4 letras.,All the information of the cells is stored by a combination of only these 4 letters.
DL53,¿No te parece curioso?,Isn't it curious?
DL54,"Sí, ¡qué interesante!","Yes, how interesting!"
DL55,"Es verdad que algo me sonaba, pero ¿cómo pueden las células leer toda esta información contenida en el ADN?","It's true that I've heard of it, but how can cells read all this information contained in the DNA?"
DL56,Excelente pregunta. ¿Por qué no le pides a mi compañero que te cuente un poco sobre la expresión génica?,"Excellent question, why don't you ask my colleague to tell you a bit about gene expression?"
DL57,Ahora mismo tengo que seguir con mi trabajo.,Right now I have to get on with my work.
DL58,¿Por qué no hablas con mi compañero?,Why don't you talk to my colleague?
DL59,"Hola, ¿qué tal?","Hello, how are you?"
DL60,"T, G, C, A, A ,A ,A, A… ¡madre mía, cuántas A’s!","T, G, C, A, A, A, A, A, A... my goodness, so many A's!"
DL61,"(Mmm, parece un poco agobiado, espero no molestarle mucho…)","(Mmm, he looks a bit overwhelmed, I hope I'm not bothering him too much...)"
DL62,"Disculpa, ¿puedo hacerte una pregunta?","Excuse me, can I ask you a question?"
DL63,"No ves que estoy ocupado… Por favor, espera a que termine.",Can't you see I'm busy... Please wait for me to finish.
DL64,"Vaya, es que me gustaría saber un poco sobre expresión génica.","Well, I would like to know a little bit about gene expression."
DL65,¡¡!!,¡¡!!
DL66,¡Haber empezado por ahí! ¡Me encanta ese tema!,"You should have started there, I love that topic!"
DL67,Te comento. La expresión génica es el proceso por el que las células emplean la información del ADN para la producción de proteínas específicas.,Let me tell you. Gene expression is the process by which cells use information from DNA to produce specific proteins.
DL68,Estas son las moléculas responsables de realizar la mayor parte de las funciones celulares.,These are the molecules responsible for carrying out most cellular functions.
DL69,La expresión génica tiene dos fases esenciales:,Gene expression has two essential phases:
DL70,"la primera es la transcripción, en la que se genera una copia del ADN en forma de ARN y la siguiente es la traducción, en la que el ARN, gracias a los ribosomas, se utiliza para generar una proteína.","the first is transcription, in which a copy of the DNA is generated in the form of RNA, and the next is translation, in which the RNA, thanks to the ribosomes, is used to generate a protein."
DL71,"¡Oh!, qué curioso… aunque me surge una duda: en todo este mar de letras del ADN, ¿cómo saben las células qué parte tienen que leer?","Oh, that's funny... but I have a question: in all this chaos of DNA letters, how do the cells know which part to read?"
DL72,¡Muy buena pregunta!,That's a very good question!
DL73,Las regiones del ADN que contienen la información para la producción de proteínas se llaman secuencias codificantes (CDS).,The regions of DNA that contain the information for protein production are called coding sequences (CDS).
DL74,"Sin embargo, por sí mismas no pueden expresarse. Para ello hacen falta otros elementos.","However, they cannot express themselves. Other elements are needed for that."
DL75,"Antes y después de las CDS, tenemos los promotores y terminadores.","Before and after the CDS, we have promoters and terminators."
DL76,Estos son necesarios para que tenga lugar la transcripción.,These are necessary for transcription to take place.
DL77,"Luego, entre los promotores y el CDS encontramos el sitio de unión al ribosoma (RBS), que es una región que asegura que tenga lugar la fase de traducción.","Then, between the promoters and the CDS, we have the ribosome binding site (RBS), which is a region that ensures that the translation phase takes place."
DL78,Pues esto es lo mínimo necesario para que la célula pueda entender la información contenida en el ADN.,So this is the minimum necessary for the cell to understand the information contained in the DNA.
DL79,"Muchas gracias por enseñarme todo esto. Exactamente, ¿qué relación tiene esto con la biología sintética y con el proyecto?",Thank you very much for teaching me all this. Exactly how does this relate to synthetic biology and the project?
DL80,"Esto es importantísimo para adentrarse en la biología sintética. Estoy seguro de que el jefe podrá contártelo muy bien, te aconsejo hablar con él, aunque suele andar ocupado","This is very important for getting into synthetic biology. I'm sure the boss will be able to tell you all about it very well. I advise you to talk to him, although he's usually busy."
DL81,"(Ya veo, ya...)","(I see, I see...)"
DL82,¡Gracias!,Thank you!
DL83,Ahora te vendría bien hablar con mi jefe.,Now you should talk to my boss
DL84,Ahora tienes una pequeña base sobre qué es el ADN.,Now you have a little background on what DNA is.
DL85,"Si quieres saber más sobre biología sintética, habla con el jefe.","If you want to know more about synthetic biology, talk to the boss."
DL86,"Parece un poco serio, ¡pero que no te intimide!","He seems a bit serious, but don't be intimidated!"
DL87,¿Mmm?,Mmm?
DL88,¿Que el jefe te ha pedido ayuda y no sabes qué hacer?,The boss has asked you for help and you don't know what to do?
DL89,"Sí, efectivamente.",Exactly.
DL90,"¡No hay problema, te hago un resumen rápido y listo!","No problem, I'll give you a quick summary!"
DL91,"Aquí, en Drylab una de nuestras principales funciones consiste en el diseño de construcciones genéticas.","Here at Drylab, one of our main functions is the design of genetic constructs."
DL92,"Para ello, hacemos una gran labor de investigación y revisión, con vistas a identificar las secuencias de ADN y proteínas más adecuadas para añadir al organismo que nos interese.","To do this, we do a lot of research and screening, with a view to identifying the most suitable DNA and protein sequences to add to the organism we are interested in."
DL93,"En resumen, nos encargamos de idear una solución molecular al problema que queremos resolver.","In short, we come up with a molecular solution to the problem we want to solve."
DL94,"Es como construir una estructura con piezas de un puzzle, salvo que las piezas son promotores, CDS o terminadores, y el resultado final no es una casa, o un coche, sino un circuito genético.","It is like building a structure with pieces of a puzzle, except that the pieces are promoters, CDS or terminators, and the end result is not a house, or a car, but a genetic circuit."
DL95,E-entiendo.,I-I understand.
DL96,Pero no sé si yo voy a saber hacer eso…,But I don't know if I'm going to know how to do that.
DL97,¡No te preocupes! Nosotros te guiaremos.,"Don't worry, we'll guide you."
DL98,¡No hay tiempo que perder!,There's no time to waste!
DL99,"Ahora que sabes lo que es la biología sintética, puedes comprender nuestro papel dentro de ella.","Now that you know what synthetic biology is, you can understand our role in it."
DL100,"Verás, en Drylab elaboramos estudios matemáticos e informáticos para predecir el funcionamiento de nuestro organismo más allá del que podemos obtener a partir de experimentos en el laboratorio.","As you can see, in Drylab we develop mathematical and computer studies to predict the functioning of our organism beyond what we can obtain from laboratory experiments."
DL101,Somos un punto de partida esencial para guiar y orientar el trabajo de Wetlab.,We are an essential starting point to guide and orient Wetlab’s work.
DL102,¡Comprendo!,I understand!
DL103,"Genial, creo que ahora estás más que preparado para ayudar al jefe.","Great, I think you are now more than ready to help the boss."
DL104,*tic tac tac tic*,*tic tac tac tac tic*
DL105,(Está tecleando muy rápido en su ordenador.),(He is typing very fast on his computer.)
DL106,(Parece concentrado debería dejarlo trabajar.),"(He looks focused, I should let him work.)"
DL107,¡No hay tiempo que perder!,There's no time to waste!
DL108,¡Por fin buenas noticias!,Finally some good news!
WL1,"¡No queda tiempo, debes darte prisa por favor!","There is no time left, you must hurry please!"
WL2,¡BUAAAAAAAAAAAAAA!,WAAAAAAAAAAAAAAAAAAAAAAAAA!
WL3,Pobre jefa…,Poor boss...
WL4,La pobrecita está angustiadísima…,The poor thing is in anguish...
WL5,"♫ Laraliiii Laraloooooo♫ ¡AHHH! ¡Lo has hecho genial, tiene muy buena pinta!","♫ Laraliiiii Laralooooooo♫ AHHHH! You did great, it looks great!"
WL6,"Por ahora, toca esperar a que la bacteria crezca.","Now, it's time to wait for the bacteria to grow."
WL7,"Maravilloso, ¿y después qué?","Wonderful, and then what?"
WL8,Cuando crezca haremos un ensayo para ver si todo está funcionando correctamente.,When it grows we will do a test to see if everything is working properly.
WL9,He añadido una proteína fluorescente de color rojo a la construcción genética. Si se ve rojo es que todo está funcionando como debería. Te avisaré cuando hayan crecido.,I have added a red fluorescent protein to the gene construct. If it looks red then everything is working as it should. I'll let you know when they've grown.
WL10,"Oye, ¿y cuánto tarda en crecer?",How long does it take to grow?
WL11,Pues… aproximadamente 16 horas.,Well... about 16 hours.
WL12,¡¿Pero no quedaban 15 minutos para presentar el proyecto?!,But wasn't there 15 minutes left to present the project?!
WL13,"De todas formas eso les optimizo yo las condiciones de crecimiento y en nada las tenemos, ¡no te preocupes!","Anyway, I'll optimise the growing conditions and we'll have them in no time, don't worry!"
WL14,(¿Le va a meter prisa a la bacteria?),(Is he going to rush the bacteria?)
WL15,"Mientras tanto, ¿por qué no vas a hablar con los de Human Practices?","In the meantime, why don't you go talk to Human Practices?"
WL16,Les puedes contar todo lo que ya sabes.,You can tell them everything you already know.
WL17,¡BUAAAAAAAAAAAAAA!,WAAAAAAAAAAAAAAAAAAAAAAA!
WL18,(Está llorando tanto que creo que ni siquiera se da cuenta de que estoy aquí.),(She's crying so hard I don't think she even realises I'm here).
WL19,(Voy a tener que preguntarle a alguien distinto qué le pasa.),(I'm going to have to ask someone else what's wrong with her).
WL20,♫ Laraliiii laralaaaa ♫,♫ Laraliiii laralaaaa ♫
WL21,(Ha pasado de la tristeza absoluta a la euforia instantáneamente.),(She has gone from absolute sadness to euphoria instantly).
WL22,(Supongo que tanto trabajo es una gran carga emocional…),(I guess that much work is a big emotional burden...)
WL23,"(En cualquier caso, debería hablar con los otros dos miembros antes de ayudarla.)","(In any case, I should talk to the other two members before helping her.)"
WL24,¡Ya está todo listo para empezar a trabajar!,You're ready to get to work now!
WL25,"No es por meter presión, pero…. solo tenemos una oportunidad.","Not to put pressure, but .... we only get one chance."
WL26,¡Así que crucemos los dedos para que todo salga bien!,So let's keep our fingers crossed that it all works out!
WL27,¡Que te vaya bien!,Good luck to you!
WL28,E-em disculpad que os moleste…,E-em sorry to bother you...
WL29,¿Pero está bien vuestra jefa?,But is your boss okay?
WL30,La pobrecita está con los nervios a flor de piel porque necesita los fragmentos sintetizados de ADN que deberían haberle dado los de Drylab para poder trabajar…,The poor thing is freaking out because she needs the synthesised DNA fragments that Drylab should have given her in order to be able to work...
WL31,¡Pero aquí estamos! ¡La hora de la entrega está a la vuelta de la esquina y aquí no nos han dado nada!,But here we are! Delivery time is just around the corner and we haven't been given anything!
WL32,¡Ah! ¿Puede que lo que necesiteis sea esto?,Ah! Maybe this is what you need?
WL33,¡¡!!,¡¡!!
WL34,¡POR FIN!,FINALLY!
WL35,"¡Gracias, gracias, GRACIAS!","Thank you, thank you, THANK YOU!"
WL36,"Eres el nuevo, ¿verdad? ¡Nos has salvado!","You're the newbie, aren't you? You saved us!"
WL37,Me alegro de ser de ayuda.,Glad to help.
WL38,"El problema es que aún teniendo lo que nos faltaba, seguimos yendo mal de tiempo…","The problem is that even though we have what we need, we're still running out of time..."
WL39,(Ya veo por donde van los tiros…),(I see where you're going with this...)
WL40,¿Necesitáis que os eche una mano?,Do you need me to give you a hand?
WL41,¡¿En serio?! ¡Me harías una reina!,Really?! You'd make me a queen!
WL42,"Tengo que preparar unas últimas cosillas antes de empezar el último experimento, pero voy a tardar un poco,","I have a few things to prepare before I start the last experiment, but I'm going to be there for a while,"
WL43,¿por qué no te acercas a hablar con los otros dos compañeros para que te expliquen de mientras lo que hacemos aquí?,so why don't you go over and talk to the other two guys so they can explain what we're doing here?
WL44,"¿Te ha mandado la jefa a hablar conmigo? Pues mira, mientras la jefa prepara las cosas, deja que te haga un pequeño resumen de lo que hacemos en Wetlab:","Did the boss send you to talk to me? Well, while the boss gets things ready, let me give you a brief summary of what we do at Wetlab:"
WL45,"Fundamentalmente, en Wetlab realizamos experimentos de laboratorio","Basically, in Wetlab we carry out laboratory experiments"
WL46,que nos sirven para comprobar que las construcciones genéticas diseñadas por el equipo de Drylab funcionan en un organismo vivo.,to check that the genetic constructs designed by the Drylab team work in a living organism.
WL47,"Para ello, nos ponemos la bata y aplicamos diversas técnicas, siguiendo los pasos de un protocolo y tomando los reactivos del laboratorio para hacer los experimentos,","To do this, we put on our lab coats and apply various techniques, following the steps of a protocol and taking reagents from the laboratory to perform the experiments,"
WL48,como el ADN o las enzimas de restricción.,such as DNA or restriction enzymes.
WL49,¿Eh? ¿Qué son las enzimas de restricción?,What are restriction enzymes?
WL50,"¡Ah! Mira, son enzimas que tienen la capacidad de cortar la molécula de ADN en posiciones determinadas en base a su capacidad para reconocer secuencias de nucleótidos concretas…","Ah! Look, they are enzymes that have the ability to cut the DNA molecule at specific positions based on their ability to recognise specific nucleotide sequences..."
WL51,"si quieres saber más, luego nos preguntas de nuevo.","if you want to know more, come back and ask us later."
WL52,¡Perfecto!,Perfect!
WL53,"Prosiguiendo, por último, lo que hacemos es analizar el comportamiento de nuestro organismo y pensamos cómo mejorarlo.","Moving on, finally, what we do is analyse the behaviour of our organism and think about how to improve it."
WL54,"Vemos si el organismo hace lo que queremos que haga, como por ejemplo, es la comunicación entre ellas a través del quorum sensing.","We see if the organism does what we want it to do, for example, the communication between them through quorum sensing."
WL55,…,…
WL56,"Vale, tampoco sabes qué es el quorum sensing…","Ok, you don't know what quorum sensing is either..."
WL57,"Te lo explico rápidamente, pero como te he dicho antes, si quieres saber más luego nos puedes preguntar otra vez.","I'll explain it quickly, but as I said before, if you want to know more, you can ask us again."
WL58,"El quorum sensing es la capacidad que tienen algunas bacterias para comunicarse entre sí e inducir procesos a nivel poblacional mediante la producción y secreción de ciertas moléculas frente a un estímulo determinado,","Quorum sensing is the ability of some bacteria to communicate with each other and induce processes at the population level by producing and secreting certain molecules in response to a given stimulus,"
WL59,como por ejemplo es producir algún pigmento o molécula fluorescente.,such as producing a pigment or fluorescent molecule.
WL60,¡Espero haberme explicado bien!,I hope I made myself clear!
WL61,Algo que siempre me ha fascinado es el quorum sensing. ¿Te gustaría saber en qué consiste?,"Something that has always fascinated me is quorum sensing, would you like to know what it is?"
WL62,El quorum sensing es un proceso mediante el cual las bacterias pueden comunicarse entre sí y regular algunas de sus actividades en función de la densidad de población de bacterias.,Quorum sensing is a process by which bacteria can communicate with each other and regulate some of their activities depending on the bacterial population density.
WL63,Este fenómeno se basa en que las bacterias de determinadas especies producen y liberan unas moléculas que actúan como señales y que reciben el nombre de autoinductores.,This phenomenon is based on the fact that bacteria of certain species produce and release molecules that act as signals and are called autoinducers.
WL64,"Cuando la densidad de la población es baja y hay pocas bacterias produciendo estas moléculas,","When the population density is low and there are few bacteria producing these molecules,"
WL65,no hay suficiente concentración y no se genera ninguna respuesta por parte de las células.,there is not enough concentration and no response is generated by the cells.
WL66,"Sin embargo, cuando la densidad de población supera un límite, la gran cantidad de bacterias produciendo autoinductores hace que estos alcancen grandes concentraciones,","However, when the population density exceeds a limit, the large number of bacteria producing autoinducers causes them to reach high concentrations,"
WL67,"suficientes para disparar una respuesta en la célula, activando procesos concretos.","enough to trigger a response in the cell, activating specific processes."
WL68,"Por ejemplo, las bacterias emplean esta estrategia de comunicación para iniciar la producción de bioluminiscencia, la virulencia o la reproducción.","For example, bacteria use this communication strategy to initiate bioluminescence production, virulence or reproduction."
WL69,"¡Si tienes ganas de aprender más, habla conmigo!","If you want to learn more, talk to me!"
WL70,"Te he visto hablando con mi compañero… creo haberle oído hablar de lo que hacemos en Wetlab, pero sería importante que te contase un poco lo que vamos a hacer.","I saw you talking to my colleague... I think I heard him talking about what we do in Wetlab, but it would be important to tell you a bit about what we are going to do."
WL71,"Ahora que contamos con los fragmentos de ADN que vamos a utilizar, tenemos que unirlos en un orden concreto para generar la construcción génica completa, es decir, ensamblar los fragmentos.","Now that we have the DNA fragments we are going to use, we have to put them together in a particular order to generate the complete gene construct, i.e. assemble the fragments."
WL72,"Para ello aplicamos 2 técnicas fundamentales: digestión y ligación, que nos van a permitir cortar los fragmentos de ADN y posteriormente pegarlos unos tras otros.","To do this, we apply two fundamental techniques: digestion and ligation, which allow us to cut the DNA fragments and then glue them together."
WL73,"La construcción génica se debe introducir dentro de otra molécula de ADN, llamada plásmido, para que podamos introducir el ADN dentro de un organismo que lo pueda captar, como una bacteria.","The gene construct must be introduced into another DNA molecule, called a plasmid, so that we can introduce the DNA into an organism that can take it up, such as a bacterium."
WL74,El proceso mediante el cual las bacterias son capaces de incorporar nuestro plásmido recibe el nombre de transformación.,The process by which bacteria are able to incorporate our plasmid is called transformation.
WL75,"Si conseguimos todo esto, tendremos una bacteria con nuestra construcción génica de interés y podremos comprobar si realiza la función que nosotros queremos correctamente.","If we do all this, we will have a bacterium with our gene construct of interest and we will be able to test whether it performs the function we want it to correctly."
WL76,"Suena muy complicado, ¿seguro que yo soy el más indicado para hacer esto?","It sounds very complicated, are you sure I'm the best person to do this?"
WL77,"¡No te preocupes, ya verás como le pillas el truco a los protocolos enseguida!","Don't worry, you'll catch up with the protocols in no time!"
WL78,¿Quieres aprender un poco sobre qué son las enzimas de restricción?,Do you want to learn a bit about restriction enzymes?
WL79,"Las enzimas de restricción son proteínas que tienen la capacidad de cortar el ADN sobre secuencias específicas. Por ejemplo, la enzima EcoRI corta siempre que encuentre la secuencia GAATTC en el ADN.","Restriction enzymes are proteins that have the ability to cut DNA at specific sequences. For example, the EcoRI enzyme cuts whenever it finds the sequence GAATTC in DNA."
WL80,Las enzimas de restricción forman parte de un sistema de defensa de las bacterias contra los virus.,Restriction enzymes are part of a bacterial defence system against viruses.
WL81,"Sin embargo, pronto los investigadores las han aplicado a la ingeniería genética, al ser capaces de cortar fragmentos de ADN dejando en ellos extremos que permiten unir unas secuencias con otras de forma específica.","However, researchers have soon applied them to genetic engineering, as they are able to cut fragments of DNA, leaving DNA ends that allow sequences to be linked to other sequences in a specific way."
WL82,¿No es interesante?,Isn't that interesting?
WL83,¡Vuelve a hablarme si cambias de opinión!,Talk to me again if you change your mind!
W1,(¿¡Están sentados en el suelo sin hacer nada!?),(Are they just sitting on the floor doing nothing?!)
W2,"Disculpad, ¿es esta la sala de Wiki?","Excuse me, is this the Wiki room?"
W3,"¿Erm? S-sí, sí es aquí.","Erm? Y-yes, yes this is it."
W4,¿Y usted es?,And you are?
W5,Soy un nuevo miembro que acaba de entrar al equipo.,I'm a new member who just joined the team.
W6,"Umm, ya veo…","Umm, I see..."
W7,"Una pregunta, si no es molestia…","One question, if you don't mind..."
W8,¿Qué hacéis ahí tirados en el suelo?,What are you guys doing lying there on the ground?
W9,Pues cómo solo quedan 5 minutos para que acabe la competición y nadie nos ha entregado nada…,"Well, since there's only 5 minutes left in the competition and no one has handed us anything..."
W10,Hemos decidido aceptar nuestro fracaso aquí sentaditos.,We've decided to accept our failure by sitting here.
W11,A-ah ya veo.,A-ah I see.
W12,Sí.,Yes.
W13,…,…
W14,Pero es que os he traído las cosas.,But I brought you the stuff.
W15,¿¡A ESTAS ALTURAS!?,AT THIS POINT?!
W16,Perdonad pero lo hemos hecho lo más rápido posible…,Sorry but we did it as quickly as possible...
W17,(Aunque he de decir que acabo de llegar…),(Although I have to say I've only just arrived...)
W18,¡Rápido dame los documentos!,Quickly give me the documents!
W19,*click clack clack click clack*,*click clack clack click clack*
W20,¡No me va a dar tiempo a mí solo!,I won't be able to do it alone!
W21,¡No se preocupe jefe!,Don't worry boss!
W22,"¡Nosotros le daremos un curso rápido de HTML, CSS y JavaScript intensivo, y podremos trabajar los cuatro!","We'll give you a crash course in HTML, CSS and JavaScript, and the four of us can work together!"
W23,...,…
W24,¡Se acabó!,It's over!
W25,¡HEMOS ACABADO EL PROYECTO!,WE'VE FINISHED THE PROJECT!
W26,¡AHHHH! ¡No me lo puedo creer!,AHHHHH! I can't believe it!
W27,"Después de tanto esfuerzo, por fin acabamos el trabajo…","After so much effort, we've finally finished the job..."
W28,¡Por un momento creía que se venía abajo todo!,For a moment I thought it was all going to collapse!
W29,Menos mal que nos has salvado.,Thank goodness you saved us.
W30,¡Me alegra haber sido de ayuda!,I'm glad I could help!
W31,"Además, ¡he aprendido un montón!","Besides, I learned a lot!"
W32,"Bueno, aún no hemos terminado del todo.","Well, we're not quite done yet."
W33,Todavía nos queda ir a la final y que valoren nuestro trabajo.,We still have to go to the final and have our work judged.
W34,¡Por fin nuestros esfuerzos serán recompensados!,Finally our efforts will be rewarded!
W35,¡No hay tiempo!,There's no time!
W36,¡Se me van a borrar las huellas dactilares de teclear tan rápido!,I'm going to wipe my fingerprints off from typing so fast!
W37,¡Solo queda un minuto para que se acabe el plazo!,Only one minute left before the deadline!
W38,¡Vamos a entregar el proyecto finalmente!,Let's finally deliver the project!
W39,¿Estás listo?,Are you ready?
W40,A-ah entiendo…,A-ah I get it...
W41,B-bueno vuelve cuando estés listo…,W-well come back when you're ready...
W42,"Pero tampoco tardes mucho, ¿vale?","But don't take too long either, okay?"
W43,¡Muchas gracias por tu ayuda!,Thank you so much for your help!
W44,"Si no estuvieras ahí, no podríamos haber acabado a tiempo.","If you weren't there, we couldn't have finished on time."
W45,En este grupo nos encargamos de recoger la información sobre todo el proyecto y plasmarla en Internet.,In this group we are in charge of collecting information about the whole project and putting it on the internet.
W46,Específicamente en una “wiki”. Una wiki es una página simple creada con la idea de plasmar cierta información y enlazarla a otras páginas web.,Specifically in a ‘wiki’. A wiki is a simple web page created with the idea of capturing certain information and linking it to other web pages.
W47,"Todo proyecto de biología sintética debe quedar perfectamente explicado en algún lado,","Every synthetic biology project must be perfectly explained somewhere,"
W48,"y en nuestro caso, usamos la wiki, para que sea fácil de entender tanto por el público inexperto como por los más puestos en el tema.","and in our case, we use the wiki, so that it is easy to understand both for the inexperienced public and for those who are more knowledgeable about the subject."
W49,"¡Es fundamental que toda la información relacionada con la biología sintética sea accesible para todo el mundo, y más siendo un campo tan novedoso!","It is essential that all information related to synthetic biology is accessible to everyone, especially in such a new field!"
W50,"Entiendo, así todo el que quiera trabajar en el campo podrá hacerlo con más facilidad…","I understand, so that everyone who wants to work in the field can do it easily..."
W51,"Recuerda, las wikis son muy útiles para plasmar la investigación en biología sintética de forma accesible y sencilla.","Remember, wikis are very useful for making synthetic biology research accessible and easy to use."
W52,¡Lo hemos conseguido!,We did it!
W53,Déjame que te explique lo que vamos a hacer ahora.,Let me explain what we are going to do now.
W54,"Ya tenemos los textos que deben estar en la página web, así que lo único que nos queda por hacer es meterlos.","We already have the texts that need to be on the website, so the only thing left to do is to put them in."
W55,¿Y es eso muy difícil?,And is that very difficult?
W56,"No, solo debes tener conocimientos básicos sobre qué son los “lenguajes de marcado” y de “estilo en cascada”.","No, you just need to have a basic knowledge of what ‘layout languages’ are."
W57,¿Eso tiene algo que ver con HTML?,Does that have anything to do with HTML?
W58,¡Así es!,That's right!
W59,"Estos lenguajes sirven para crear a través de varios elementos gráficos una interfaz fácil de usar,","A layout language is a language used by a programmer to create through various graphical elements a user-friendly interface,"
W60,o simplemente organizarlos de tal forma que sean visualmente agradables.,or simply to arrange them in such a way that they are visually pleasing.
W61,HTML y CSS son dos ejemplos muy conocidos.,HTML and CSS are two well-known examples.
W62,¡Comprendo!,I understand!
W63,¡Ahora que ya sabes qué vamos a hacer (más o menos) tenemos que ayudar al jefe!,Now that you know what we are going to do (more or less) we have to help the boss!
W64,¡Por fin hemos acabado!,We're finally done!
W65,¡BUAAAAAAAA!,WUAAAAAAAA!
W66,¿Estás bien? ¿Por qué lloras?,"Are you okay, why are you crying?"
W67,¡Si por fin hemos acabado!,We're finally done!
W68,¡P-por eso lloroooo!,Th-that's why I'm crying!
W69,¡Lloro de alegría!,I'm crying for joy!
W70,(¿Supongo que entonces no pasa nada?),(I guess it's all right then?)
W71,¡Por fin la gente sabrá más sobre la biología sintética!,Finally people will know more about synthetic biology!
W72,"Espero que este proyecto pueda ayudar a mucha gente, ¡tocará publicarlo en redes!","I hope this project can help a lot of people, I will post it on networks!"
W73,¡Qué alegría que todo haya salido bien!,I'm glad it all worked out!
W74,Ahora solo queda ver qué opinan sobre nuestro trabajo.,Now we just need to see what you think of our work.
W75,¡Muchas gracias por todo!,Thank you very much for everything!
W76,¿Has disfrutado trabajando en un equipo de biología sintética?,Have you enjoyed working on a synthetic biology team?
W77,¡Sí! He aprendido mucho de muchas disciplinas distintas.,"Yes, I have learned a lot from many different disciplines."
W78,¡Me alegro de oírlo!,Glad to hear it!
WLKDL,Bienvenido al juego de Drylab,Welcome to the game of Drylab
IMJDL1,"¡Llegó la hora de obtener las secuencias de ADN necesarias para elaborar las construcciones genéticas y poder desarrollar nuestro proyecto! Para ello, recoge los elementos génicos que caen de la parte superior de la pantalla como te ha dicho Metionino,el jefe de Drylab. Pero recuerda, el orden es muy importante para que las construcciones sean funcionales, así que asegúrate de coger las piezas en el orden correcto.","It's time to gather the DNA sequences necessary for the production of the genetic constructs and the development of our project. For this purpose, gather the genetic elements that fall from the top of the screen.\nBut remember, the order is very important for the constructions to be functional, so make sure to collect the pieces in the correct order."
IMJDL2,"Consigue el mayor número de construcciones genéticas: [color=green]gana[/color] 3 puntos por cada constructo génico completado, [color=green]gana[/color] 1 punto por cada pieza correcta recogida en el momento adecuado, pero [color=red]pierde[/color] 1 puntos si te equivocas de orden. ¡Siempre puedes comprobar tu progreso en la barra de la parte superior de la pantalla!","Collect the most number of genetic constructs: gain 3 points per genetic construct completed, earn I point per piece collected in the correct moment, but lose I point if you make a mistake in the order. You can always check your progress on the bar in the top of the screen!"
IDLPM,1. Promotor,1. Promoter
IDLTERM,4. Terminador,4. Terminator
WLKWL,Bienvenido al juego de Wetlab,Welcome to the game of Wetlab
IMJWL1,"¡Toca ponerse los guantes y empezar a trabajar! Sigue las instrucciones de Dropaula, la Jefa de Wetlab, para desarrollar los protocolos de digestión, ligación y transformación con el objetivo de obtener bacterias transformadas con el ADN que hemos sintetizado.","Let's put on the gloves and begin working! Follow the instructions given by the Wetlab boss, in order to execute the protocols of digestion, ligation and transformation, with the objective of getting bacteria transformed with the DNA that we have synthesized."
IMJWL2,"Pero, ¡cuidado! El tiempo apremia, así que trata de ser eficiente y completar correctamente los protocolos en el menor tiempo posible. ¡Mucha suerte!","But be careful, there is not much time, so try to be efficient and complete the protocols succesfully as fast as you can to win more points."
JWL1,"¡Ya veo que te has colocado frente al banco de trabajo! Vamos a comenzar entonces a hacer una digestión para cortar los fragmentos de ADN. ¿Ves todos esos tubos en la caja de hielo? Pues tienes que colocarlos en la gradilla, para que sea cómodo trabajar. Esos tubos contienen el ADN del plásmido y de los constructos que han diseñado los de Drylab, y también las enzimas de restricción necesarias para digerir este ADN en sitios específicos y el tampón para que funcione todo.","I see you’ve taken a site in front of the workbench! Let’s start by doing a digestion to cut out the DNA fragments. See all those tubes in the ice box? Well, you have to place them on the rack, so that it’s comfortable to work with. Those tubes contain the DNA from the plasmid and the constructs that the Drylab guys have designed, and also the restriction enzymes needed to digest this DNA at specific sites and the buffer to make it all work."
JWL2,"¡Excelente! Ahora, coge la pipeta roja, que sirve para medir microvolúmenes, y mezcla en las proporciones adecuadas cada uno de los reactivos. Tienes que hacer dos tubos para digerir por separado los constructos y el plásmido.","Excellent! Now take the red pipette, which is used to measure microvolumes, and mix the right proportion of each reagent. You need to make two tubes to digest the constructs and the plasmid separately."
JWL3,"Estupendo, veo que lo tienes ya hecho. Para digerir, sin embargo, hay que poner los tubos a 37 grados celsius, por lo que ahora colócalos en el termobloque, que permite alcanzar temperaturas estables. Además, luego vamos a inactivar las enzimas, que si no, ¡pueden seguir actuando!","Great, I see you’ve got it done. However, to digest you have to put the tubes at 37 degrees Celsius, so now put them in the thermoblock, which allows you to reach stable temperatures. Besides, we will then inactivate the enzymes, otherwise they will still be able to work!"
JWL4,"Ya lo has tenido el tiempo que tocaba, por lo que de nuevo hay que poner los tubos en el hielo.","You’ve had it for the right amount of time, so you have to put the tubes back on ice."
JWL5,"Como ves, hay dos tubos nuevos: una enzima ligasa y su tampón. Eso es porque vamos a unir las piezas de ADN digeridas a través de una ligación, para luego poder introducirlo en una bacteria. Pon, por favor, los cuatro tubos en la gradilla.","As you can see, there are two new tubes: an enzyme ligase and its buffer. That’s because we’re going to join the digested pieces of DNA together through ligation, so that we can then introduce it into a bacterium. Please put the four tubes in the rack."
JWL6,"Ahora de nuevo, mezclalo todo como te he enseñado antes, en las proporciones adecuadas.","Now mix everything as I have shown you, in the right proportions."
JWL7,¡Genial! Si esto es todo muy repetitivo… toca otra vez calentarlo para que la enzima pueda funcionar. Pon el tubo en el termobloque.,Great! If this is all too repetitive…it’s time to heat it up again so that the enzyme can work. Put the tube in the thermoblock.
